"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"136","BOJ10",8,"BOJ10-8","",NA,NA,NA,NA
"137","BOJ10",9,"BOJ10-9","",NA,NA,NA,NA
"138","BOL94",1,"BOL94-1","Natural, prehistoric",NA,43,NA,NA
"139","BOL94",100,"BOL94-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"140","BOL94",18,"BOL94-18","",NA,NA,NA,NA
"141","BOL94",41,"BOL94-41","",NA,NA,NA,NA
"142","BOP82",0,"BOP82-0","",NA,NA,NA,NA
"143","BOS87",0,"BOS87-0","",NA,NA,NA,NA
"144","BOS87",0,"BOS87-0","",NA,NA,NA,NA
"145","BPB05",1,"BPB05-1","NATURAL LONDON CLAY",NA,NA,NA,NA
"146","BPB05",2,"BPB05-2","NATURAL GRAVEL",NA,NA,NA,NA
"147","BPB05",3,"BPB05-3","NATURAL BRICKEARTH",NA,NA,NA,NA
"148","BPL95",1,"BPL95-1","NATURAL GRAVEL",NA,NA,NA,NA
"149","BRA88",0,"BRA88-0","",NA,NA,NA,NA
"150","BRA88",1,"BRA88-1","Topography and prehistoric activity",NA,43,NA,NA
"151","BRD88",0,"BRD88-0","",NA,NA,NA,NA
"152","BRD88",1,"BRD88-1","NATURAL SAND AND GRAVEL",NA,NA,NA,NA
"153","BRD88",100,"BRD88-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"154","BRV98",0,"BRV98-0","",NA,NA,NA,NA
"155","BRV98",1,"BRV98-1","NATURAL GEOLOGY: BRICKEARTH OVER GRAVEL",NA,NA,NA,NA
"156","BTH88",0,"BTH88-0","",NA,NA,NA,NA
"157","BTH88",1,"BTH88-1","Topography and prehistoric activity",NA,43,NA,NA
"158","BTJ93",0,"BTJ93-0","",NA,NA,NA,NA
"159","BUC87",0,"BUC87-0","VOID - NO PERIOD",NA,NA,NA,NA
"160","BUC87",1,"BUC87-1","Natural, prehistoric",NA,43,NA,NA
"161","BUC87",100,"BUC87-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"162","BUC87",13,"BUC87-13","MODERN - INCLUDED WITH PERIOD 12 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"163","BUC87",30,"BUC87-30","",NA,NA,NA,NA
"164","BUC87",300,"BUC87-300","METAL DETECTED FINDS  = PERIOD 3 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"165","BUG94",0,"BUG94-0","",NA,NA,NA,NA
"166","BUG94",8,"BUG94-8","",NA,NA,NA,NA
"167","BU-MOK02",1,"BU-MOK02-1","NATURAL TOPOGRAPHY AND GEOLOGY-INCLUDES VEGETATION AND EROSION FEATURES",NA,NA,NA,NA
"168","CAO96",0,"CAO96-0","NATURAL GEOLOGY & TOPOGRAPHY",NA,NA,NA,NA
"169","CAO96",6,"CAO96-6","""DARK EARTH""",NA,NA,NA,NA
"170","CCP04",1,"CCP04-1","PRE-ROMAN. NATURAL GEOLOGY AND TOPOGRAPHY",NA,43,NA,NA
"171","CDP04",1,"CDP04-1","NATURAL GEOLOGY AND NATURAL FEATURES",NA,NA,NA,NA
"172","CDV99",1,"CDV99-1","NATURAL",NA,NA,NA,NA
"173","CDV99",3,"CDV99-3","MEDIEVAL QUARRIES, HOLY TRINITY PRIORY GARDEN",1066,NA,NA,NA
"174","CFL94",0,"CFL94-0","",NA,NA,NA,NA
"175","CFL94",10,"CFL94-10","",NA,NA,NA,NA
"176","CFL94",11,"CFL94-11","",NA,NA,NA,NA
